date,date_es,scheduled,pending,disabled,scheduled_ar,pending_ar,disabled_ar,scheduled_ca,pending_ca,disabled_ca,scheduled_cl,pending_cl,disabled_cl,scheduled_co,pending_co,disabled_co,scheduled_du,pending_du,disabled_du,scheduled_fd,pending_fd,disabled_fd,scheduled_fs,pending_fs,disabled_fs,scheduled_la,pending_la,disabled_la,scheduled_ma,pending_ma,disabled_ma,scheduled_mo,pending_mo,disabled_mo,scheduled_pa,pending_pa,disabled_pa,scheduled_rn,pending_rn,disabled_rn,scheduled_ro,pending_ro,disabled_ro,scheduled_rv,pending_rv,disabled_rv,scheduled_sa,pending_sa,disabled_sa,scheduled_sj,pending_sj,disabled_sj,scheduled_so,pending_so,disabled_so,scheduled_ta,pending_ta,disabled_ta,scheduled_tt,pending_tt,disabled_tt
2021-05-23,23-05-2021,160176,358473,50318,155,7164,984,45435,65709,9528,51,6221,620,3572,12319,1159,40,4178,273,1763,6224,852,14,3673,252,974,5666,354,7679,21886,2042,91406,146404,25283,1948,11931,1068,588,5142,781,4698,7308,457,79,7826,644,312,15263,2082,110,11965,1626,840,6105,796,459,9793,1276,53,3696,241
2021-05-24,24-05-2021,161235,359343,50728,183,7165,987,45982,64745,9581,80,6247,626,3646,12285,1169,52,4195,275,1776,6216,855,40,3616,255,1006,5683,359,7669,22213,2068,91369,147703,25498,2004,12010,1078,604,5163,783,4748,7301,466,121,7832,647,363,15296,2108,159,11981,1645,873,6138,803,465,9875,1282,95,3679,243
2021-05-25,25-05-2021,127689,356414,51315,184,7141,1001,38116,64813,9657,82,6246,630,3006,12115,1186,54,4099,279,1417,6187,859,40,3404,258,398,5673,364,5115,22164,2100,73302,147650,25781,243,11295,1108,282,4966,785,3876,6910,474,123,7544,651,362,14962,2155,162,11970,1667,601,6108,809,231,9580,1304,95,3587,247
2021-05-26,26-05-2021,97040,357276,51938,198,6895,1011,29657,65902,9767,91,6248,640,2374,12192,1201,57,3814,285,1042,6059,868,44,3008,263,115,5562,365,2490,22662,2134,56413,148949,26066,267,11454,1125,44,4824,792,2920,7027,481,123,7352,660,354,14631,2205,176,11660,1688,345,6149,818,227,9352,1318,103,3536,251
2021-05-27,27-05-2021,231262,193835,52652,5196,1764,1035,54323,33286,9859,4475,1923,657,10025,3746,1214,2979,917,290,4792,1659,886,1794,252,202,4488,1211,369,11145,13272,2196,82655,107343,26379,5920,5666,1136,3117,1745,799,5943,2525,486,5089,2069,667,6118,8260,2267,9089,2745,1710,5024,1934,887,6301,2833,1361,2789,685,252
2021-05-28,28-05-2021,320298,74941,52771,6486,308,1039,67670,12432,9853,6205,169,657,10495,2702,1233,3659,165,289,5377,567,885,1979,23,202,5600,83,371,18910,5151,2208,126461,46971,26418,8884,2156,1150,4416,317,797,7054,304,488,6313,493,671,11888,1843,2284,10840,567,1714,6777,120,891,8079,379,1369,3205,191,252
2021-05-29,29-05-2021,305533,83634,56234,6726,577,1117,60140,14783,10198,6195,533,743,10361,3153,1232,4303,385,1277,5238,730,868,2207,42,224,5811,274,475,18767,5781,2404,116012,45172,27653,8904,3877,1213,4611,807,873,7078,553,486,7227,595,682,11807,4098,2369,10938,871,1781,7135,210,891,8623,824,1358,3450,369,390
2021-05-30,30-05-2021,288870,74651,56524,6497,401,1119,55332,14027,10234,6147,294,744,9474,2608,1237,3648,181,1278,5114,592,872,1974,45,224,5552,148,475,17893,5549,2423,110633,44189,27833,8826,2278,1224,4438,260,873,6512,323,489,6331,552,683,11749,1731,2390,10749,637,1784,6761,198,892,8070,427,1360,3170,211,390
2021-05-31,31-05-2021,294310,71309,56995,6676,286,1120,55955,12836,10304,6182,394,746,9904,2249,1256,3744,106,1280,5238,447,874,2000,32,224,5701,82,477,18554,5209,2442,112142,43986,28147,9018,2198,1242,4575,173,879,6674,208,489,6490,455,688,11896,1691,2399,11132,377,1786,7021,54,893,8188,322,1360,3220,204,389
2021-06-01,01-06-2021,264466,66105,57017,5725,293,1119,53309,10458,10302,5105,513,746,8253,2392,1257,3084,122,1280,4284,412,877,1674,36,224,4679,115,477,17139,4208,2448,98531,44769,28164,10015,318,1245,4036,181,876,6075,212,489,5504,434,688,11830,599,2400,9597,398,1785,6207,69,893,6932,356,1358,2487,220,389
2021-06-02,02-06-2021,225497,71254,57042,4701,308,1118,46560,11779,10291,4091,644,746,6508,2586,1256,2568,183,1280,3327,439,877,1356,60,224,3681,190,476,14491,4546,2450,84500,46985,28205,8968,498,1245,3453,222,874,5413,289,489,4457,466,689,10605,726,2401,7979,511,1782,5348,128,893,5638,453,1357,1853,241,389
2021-06-03,03-06-2021,186401,191163,56656,3663,2565,1117,39829,31385,10212,3348,2736,743,4679,6913,1247,2128,2097,1276,2504,2688,874,1007,1279,226,3007,2261,472,11906,11703,2436,70196,98335,27970,7923,4617,1231,2840,2023,868,3975,2112,489,3451,3257,683,9277,5118,2396,6341,4265,1778,4383,3329,894,4477,3032,1355,1467,1448,389
2021-06-04,04-06-2021,169550,196820,56724,2659,3445,1116,35922,33182,10212,2602,3429,743,3163,7993,1252,1727,2536,1278,1766,3221,872,693,1507,225,2525,2719,472,9417,13268,2447,72982,90644,28016,6892,5560,1234,2209,2438,869,3351,2624,488,2577,4001,686,7965,6159,2396,4790,5111,1779,3698,3777,896,3463,3512,1354,1149,1694,389
2021-06-05,05-06-2021,184405,156362,56835,3507,2311,1115,34862,28594,10230,3043,2475,744,4527,5690,1258,2724,1319,1278,2432,2161,878,1051,902,226,3545,1480,474,9548,10985,2457,75416,79267,28066,8114,3207,1240,2749,1441,868,4322,1252,488,3585,2495,687,9609,3736,2405,5723,3156,1782,4628,2233,897,3326,2756,1353,1694,902,389
2021-06-06,06-06-2021,170577,164618,57002,3172,2594,1119,31686,30216,10267,3037,2673,744,3871,5991,1263,2385,1427,1279,2446,2297,880,1050,973,228,2884,1658,473,9079,11500,2468,70813,82147,28150,7430,3469,1251,2755,1581,871,4369,1409,488,3619,2743,686,7716,4145,2409,5054,3418,1782,4296,2459,898,3350,2931,1357,1565,987,389
2021-06-07,07-06-2021,189713,154944,57070,3165,2919,1117,31891,31007,10258,3036,2999,745,3867,6400,1268,2383,1638,1279,2767,2119,880,1052,1069,228,2882,1821,472,9051,12092,2486,86874,69654,28200,8215,3054,1255,2761,1732,871,4383,1631,487,3615,3058,687,8578,3726,2408,5174,3701,1784,5076,2005,898,3373,3173,1358,1570,1146,389
2021-06-08,08-06-2021,153085,160240,57113,2620,3152,1120,24583,32623,10259,2266,3228,748,3478,6619,1274,1934,1782,1280,2413,2208,881,702,1132,229,2435,1964,473,6988,12489,2495,71403,69776,28214,6694,3407,1254,2150,1861,871,3677,1814,487,2770,3275,688,7013,4140,2408,4320,3902,1785,4209,2261,900,2241,3381,1358,1189,1226,389
2021-06-09,09-06-2021,113892,170362,57359,2087,3413,1127,16827,34600,10311,1756,3501,748,3105,6774,1283,1479,1973,1284,2057,2327,884,703,1178,235,1982,2152,472,4926,13006,2513,52909,73853,28322,5165,3734,1263,1550,2000,873,2944,2092,490,1910,3392,690,5431,4580,2424,3442,4239,1789,3442,2597,901,1253,3588,1360,924,1363,390
2021-06-10,10-06-2021,101773,144207,51464,2165,2857,946,18310,26932,9534,2252,2785,613,5134,4373,1181,1321,2019,263,1978,2019,807,789,1038,195,1900,1840,335,7976,8092,2191,39027,67041,26288,4079,3179,1171,1679,1575,767,1718,1944,328,1837,3396,617,4125,4177,2243,2977,3883,1602,2275,2639,859,1369,3187,1331,862,1231,193
2021-06-11,11-06-2021,112191,127370,51514,1915,2989,948,19512,25429,9535,2038,2999,611,4632,4574,1181,1083,2083,264,1732,2096,804,725,1058,197,1452,1963,336,7221,8442,2193,52877,50789,26304,4164,2816,1235,1471,1639,769,1408,2083,334,1540,3511,618,4527,3361,2245,2301,4086,1609,1675,2817,866,1282,3325,1272,636,1310,193
2021-06-12,12-06-2021,108042,130669,51559,1917,3059,962,18436,26221,9570,1997,3110,611,4565,4685,1185,1029,2131,264,1687,2128,803,658,1082,198,1223,2022,338,7210,8677,2202,51078,52232,26331,4106,2670,1180,1417,1654,766,1254,2141,334,1541,3579,620,4521,3458,2240,2150,4211,1625,1514,2909,869,1245,3350,1268,494,1350,193
2021-06-13,13-06-2021,104990,134061,51620,1917,3149,961,17656,26926,9573,2000,3200,621,4573,4813,1184,1030,2173,267,1705,2184,805,657,1097,198,1232,2104,337,7209,8873,2213,48755,53672,26355,3997,2674,1181,1440,1696,766,1254,2190,334,1540,3671,620,4613,3527,2239,2145,4316,1625,1514,2998,877,1253,3422,1269,500,1376,195
2021-06-14,14-06-2021,143585,101253,51602,3328,1937,953,28799,16603,9569,3343,2101,612,6166,3478,1184,1946,1311,267,2602,1382,805,1168,626,199,2162,1314,338,9017,7380,2225,56056,48464,26340,4946,1926,1182,2187,1042,768,2100,1475,335,3379,2057,620,5945,2493,2236,3942,2743,1624,2404,2248,880,3084,1723,1269,1011,950,196
2021-06-15,15-06-2021,133114,104281,51553,3066,2116,954,26485,17851,9547,3106,2283,613,5773,3661,1182,1687,1380,269,2356,1437,804,1063,654,199,1984,1411,339,8555,7708,2227,52865,47868,26311,4307,2107,1181,2010,1129,767,2049,1616,335,3027,2212,619,5367,2763,2232,3632,2893,1625,2088,2412,882,2889,1772,1271,805,1008,196
2021-06-16,16-06-2021,131088,96154,51613,3064,1766,955,27988,14666,9544,3750,1605,612,6235,2980,1187,1576,1281,269,2247,1329,805,1065,580,197,1790,1208,339,9212,6937,2240,48210,48200,26338,4024,1887,1183,1374,1062,767,2161,1331,337,3151,1919,623,4898,2899,2234,4136,2206,1627,2388,1895,886,2890,1472,1273,929,931,197
2021-06-17,17-06-2021,137694,79870,51571,2630,1803,955,27422,13812,9523,3605,1698,611,5894,3063,1191,1619,1066,270,2039,1379,804,989,584,197,1629,1263,339,9081,6847,2241,59216,32615,26311,3558,1869,1181,1216,1101,765,1947,1316,336,2994,1907,622,4430,2952,2236,3850,2293,1629,1961,1959,887,2675,1371,1276,939,972,197
2021-06-18,18-06-2021,207372,13443,51533,4514,75,954,36247,5778,9513,5455,32,613,8890,217,1189,2690,41,270,3161,177,802,1601,0,197,2954,24,341,16127,84,2246,86085,6217,26280,5609,1,1180,2371,22,763,3364,32,336,4940,108,622,7288,310,2236,6201,105,1627,4022,0,888,3962,139,1277,1891,81,199
2021-06-19,19-06-2021,197675,13309,51270,4350,103,952,34720,6386,9417,5382,33,610,8262,232,1182,2464,41,269,2812,197,802,1277,0,196,2807,50,338,15873,109,2240,83260,5072,26162,5063,2,1174,2172,23,762,3102,70,334,4671,153,621,6699,462,2229,5787,122,1622,3771,8,886,3292,158,1275,1911,88,199
2021-06-20,20-06-2021,195556,16423,50722,4416,118,949,34227,7132,9253,5471,74,603,8372,251,1161,2502,41,269,2841,215,795,1289,0,196,2820,93,335,15647,233,2219,80904,6777,25910,5195,1,1159,2256,29,759,3155,112,330,4726,216,619,6708,666,2211,5889,165,1604,3847,22,882,3344,179,1269,1947,99,199
2021-06-21,21-06-2021,200082,84149,7572,4867,1115,116,34432,20409,1266,5743,1125,67,9012,1300,214,2626,385,47,2952,1198,97,1480,69,32,2863,585,54,16383,2306,539,80806,43241,3809,5271,1477,219,2373,1140,57,3405,364,55,4786,1260,57,6732,3500,405,6123,2288,222,4180,954,104,3953,1087,192,2095,346,20
2021-06-22,22-06-2021,186668,92410,6836,4267,1359,97,32332,22070,1136,4610,1429,60,7224,1639,189,2479,489,45,2573,1316,89,1375,107,28,2873,696,48,15880,2802,470,78138,46184,3501,5126,1748,191,2348,1335,49,3301,470,52,4206,1425,55,6294,3892,347,5034,2637,190,3680,1096,97,3242,1277,171,1686,439,21
2021-06-23,23-06-2021,175645,98877,6257,3641,1504,91,29985,23370,1040,4344,1625,55,6575,1867,175,2493,556,41,2584,1407,79,1269,135,27,2634,768,41,15556,3180,438,75068,48801,3244,3573,1913,175,2126,1419,42,3267,577,49,3939,1575,53,6001,4153,302,4344,2884,163,3684,1210,88,2880,1447,134,1682,486,20
2021-06-24,24-06-2021,166980,103918,5828,3380,1628,87,27941,24393,978,4342,1754,49,6322,2055,162,2476,596,39,2589,1459,78,1158,165,24,2630,828,36,14103,3481,408,72060,50852,3025,3579,2047,165,1970,1502,37,2969,667,40,3653,1698,50,5741,4335,276,4198,3062,144,3694,1295,81,2524,1544,131,1651,557,18
2021-06-25,25-06-2021,155932,109186,5295,3152,1722,73,24679,25427,918,3934,1914,46,5976,2236,144,2438,644,35,2592,1524,74,1038,195,23,2565,881,31,12119,3805,378,69378,53079,2759,3557,2174,140,1856,1590,36,2703,747,36,3411,1776,46,5421,4524,233,4072,3253,123,3432,1397,74,2170,1683,110,1439,615,16
2021-06-26,26-06-2021,145059,113348,4640,2925,1833,62,22091,26307,797,3302,2069,35,5502,2393,127,2436,670,27,2599,1576,71,931,218,19,2572,926,27,10114,4062,345,66298,54690,2457,3550,2296,123,1725,1659,32,2524,823,29,3153,1833,38,5043,4618,185,3697,3410,99,3442,1489,64,1834,1795,91,1321,681,12
2021-06-27,27-06-2021,143828,117926,3956,2925,1967,41,21451,27193,707,3302,2232,19,5507,2521,112,2439,704,23,2605,1640,55,931,233,19,2577,982,23,10107,4329,289,65700,56413,2155,3544,2408,113,1724,1749,23,2530,890,24,3156,1913,32,5038,4875,128,3693,3602,73,3448,1585,58,1831,1944,51,1320,746,11
2021-06-28,28-06-2021,143529,123547,3706,2924,2103,39,21373,28150,683,3299,2429,19,5507,2755,90,2434,761,24,2606,1717,53,931,260,19,2578,1054,20,10101,4631,270,65504,58523,2040,3536,2587,98,1723,1850,22,2546,960,22,3159,2053,30,5026,5172,108,3684,3826,66,3453,1722,53,1827,2153,39,1318,841,11
2021-06-29,29-06-2021,122440,129586,3661,2554,2263,40,17275,29272,676,3019,2683,19,4770,2973,92,2181,811,24,2196,1780,52,689,296,18,2314,1148,20,9253,4956,266,57098,60888,2010,2475,2700,96,1394,1983,20,2149,1033,22,2838,2211,30,4088,5447,107,3258,4038,66,2980,1874,53,977,2303,38,932,927,12
2021-06-30,30-06-2021,101268,135970,3459,2175,2405,38,13161,30369,650,2533,2859,20,3884,3179,90,1845,855,24,1930,1858,53,410,329,18,1699,1239,19,8176,5325,247,48064,63553,1881,2044,2849,85,1125,2112,20,1849,1148,24,2370,2434,29,3135,5743,94,2783,4263,65,2494,2001,54,881,2449,36,710,1000,12
2021-07-01,01-07-2021,80567,141710,3386,1793,2575,39,10459,31392,632,2110,3074,20,3077,3386,78,1594,972,24,1646,1931,53,238,360,18,1226,1310,20,7251,5679,240,37528,65738,1830,1604,2973,87,962,2183,20,1255,1251,24,1941,2626,29,2229,6026,96,2309,4474,73,2087,2112,55,727,2574,37,531,1074,11
2021-07-02,02-07-2021,80349,148153,3227,2326,2742,38,10174,32424,620,2411,3278,20,3445,3601,75,1534,1062,24,1612,2018,50,308,400,18,1300,1402,20,7679,6052,229,33200,68245,1713,2026,3133,83,1331,2285,18,1491,1367,25,2240,2961,29,2539,6402,90,2858,4691,74,2181,2250,54,992,2670,36,702,1170,11
2021-07-03,03-07-2021,63684,150829,3133,1787,2817,38,8206,32874,617,1906,3366,21,2902,3680,77,1312,1094,24,1132,2038,50,303,412,17,1201,1473,20,7276,6257,218,24399,69346,1637,1987,3172,84,990,2330,20,1175,1412,25,1645,3017,29,1970,6587,84,2261,4787,73,1854,2293,52,850,2662,36,528,1212,11
2021-07-04,04-07-2021,59270,154065,3009,1778,2897,38,7366,33418,598,1904,3465,20,2237,3780,69,1304,1112,22,1129,2084,48,303,430,17,1186,1512,19,5793,6503,209,23654,70575,1570,1447,3253,81,990,2380,19,1171,1476,25,1644,3080,26,1900,6838,83,2247,4903,71,1847,2364,47,847,2741,36,523,1254,11
2021-07-05,05-07-2021,176019,49209,2864,5016,80,37,23028,18946,572,5645,76,19,5668,965,63,2492,48,22,3150,193,42,762,0,15,2845,0,17,12859,0,199,70822,28889,1502,5029,0,74,3582,8,19,2880,0,24,4996,0,24,9405,2,75,7588,0,66,4453,0,46,3871,0,37,1928,2,11
2021-07-06,06-07-2021,203406,16199,2652,4868,89,32,27029,13964,537,5481,76,19,5395,1027,61,2246,48,22,2911,190,41,794,0,13,2645,0,17,12019,220,181,97858,88,1383,4824,0,63,3494,20,15,2926,1,23,4849,1,24,8612,465,69,7401,1,63,4225,0,45,3940,9,33,1889,0,11
2021-07-07,07-07-2021,209778,6151,2493,4545,94,30,37183,3252,513,5372,73,18,4822,1106,56,1960,48,22,2711,183,41,811,0,13,2336,0,17,10941,521,162,98533,55,1288,5029,0,56,3385,25,15,2859,25,23,4694,1,23,7952,761,69,7131,0,60,3854,0,45,3995,7,31,1665,0,11
2021-07-08,08-07-2021,202597,7487,2343,4462,97,27,36426,3926,463,5186,73,15,4481,1159,50,1512,47,21,2516,183,39,832,0,12,2126,0,15,10159,741,151,96632,121,1225,5014,0,56,3005,33,15,2132,58,22,4134,0,22,7838,1037,68,7001,0,58,3856,1,42,3546,11,31,1739,0,11
2021-07-09,09-07-2021,187873,10033,2098,3996,103,22,35878,4404,408,4705,73,15,4224,1198,44,1464,47,17,2467,176,37,756,0,9,2112,0,14,9250,942,134,85939,1508,1112,4712,0,48,3057,40,11,2185,79,20,4317,0,20,7781,1315,55,6156,77,53,3515,0,41,3601,71,28,1758,0,10
2021-07-10,10-07-2021,176802,12154,1868,3886,108,19,35286,4697,367,4594,82,15,3996,1244,39,1479,47,17,2389,181,30,530,0,6,2029,0,14,8891,1115,110,76966,2816,996,4808,0,40,3063,41,10,2109,100,19,4368,50,17,7605,1446,46,6190,108,49,3228,0,39,3620,119,27,1765,0,8
2021-07-11,11-07-2021,175424,14283,1718,3961,111,16,35025,5000,345,4688,87,15,4028,1310,37,1509,47,16,2422,185,28,549,0,4,2065,0,12,7475,1249,104,76898,4097,922,4565,4,33,3120,42,8,2143,116,16,4389,128,16,7612,1573,40,6260,161,43,3291,0,32,3636,173,24,1788,0,7
2021-07-12,12-07-2021,177304,18763,1565,4076,155,11,35298,5716,305,4849,141,15,4068,1477,32,1555,67,16,2497,207,27,577,10,3,2136,18,11,7480,1563,95,77361,6277,861,4683,49,27,3203,82,7,2207,178,13,4415,333,14,7622,1826,38,6359,299,32,3396,30,29,3668,301,22,1854,34,7
2021-07-13,13-07-2021,165294,2977,1448,3010,23,10,37680,210,275,3790,1,15,4247,62,31,572,34,13,1979,37,25,186,0,3,1289,0,11,8157,24,84,73099,2380,815,4047,47,26,1959,9,7,1912,1,12,3430,35,13,8836,2,38,5463,17,25,2042,0,21,2860,84,19,736,11,5
2021-07-14,14-07-2021,148783,6161,1364,2133,21,8,36679,917,259,2932,1,13,3980,132,27,671,29,13,1661,43,25,278,0,2,1525,0,10,7903,36,70,62521,4506,784,3672,159,23,1947,11,5,2163,1,10,2860,55,13,9249,7,37,4633,121,24,1039,0,18,2005,108,19,932,14,4
2021-07-15,15-07-2021,125039,9638,1297,1447,28,5,32004,1647,249,2033,109,11,3606,215,27,600,28,11,1114,56,23,298,0,2,1065,0,9,7442,55,65,51369,6659,749,2881,296,22,1138,18,5,1615,1,10,2183,74,13,8503,17,37,3510,250,22,1156,0,16,2079,168,17,996,17,4
